State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AL,US,Total including LUCF,All GHG,69.37246002,73.10633802,79.38244793,77.5182854,76.74307042,88.28889312,92.33639061,91.50295361,93.24311478,95.05175632,100.5234786,93.07775499,96.01416351,97.99599497,99.82032548,99.56810815,101.0893319,104.2195342,98.83020792,78.26382036,89.92727803,83.49907599,73.4180401,72.30525459,73.05990511,61.797734,55.13087865,50.33991815,54.86863839,50.00757074,41.43808484
USA.AL,US,Total excluding LUCF,All GHG,132.61246,136.536338,142.5324479,147.0782854,147.3830704,157.7488931,162.2363906,160.4029536,162.0031148,163.7017563,169.8234786,161.757755,165.5241635,167.645995,169.7803255,170.0281081,172.4793319,175.5595342,170.4202079,150.3038204,162.297278,157.539076,148.5980401,147.1552546,148.1899051,137.997734,131.5808786,126.2399182,130.0786384,124.5075707,116.7780848
USA.AL,US,Industrial Processes ,F-Gas,0.51518374,0.499594793,0.529870873,0.605342437,0.756840911,1.065571698,1.275690465,1.470645008,1.576996473,1.743819934,1.856833429,1.951467692,2.010126978,2.063237187,2.111016749,2.16597899,2.261948637,2.366834704,2.510401776,3.185946905,3.190015149,3.77240408,3.156012082,3.226851463,3.479781547,3.518781204,3.532083046,3.517772489,3.547967187,3.650044247,3.731755448
USA.AL,US,Industrial Processes ,N2O,1.022456517,1.312973727,1.322163971,1.389227759,1.463628209,1.493982173,1.606113754,1.566655841,1.52666178,1.503054864,1.54587804,1.582888785,1.646034992,1.75418999,1.893611312,1.905270896,2.16908221,2.213071028,2.27710486,2.302782315,2.335682299,2.168516982,1.97802991,1.97702151,1.937337016,1.906018529,1.863680661,1.831882908,1.76214378,1.695762649,1.639057483
USA.AL,US,Waste ,CH4,3.489295498,3.591227107,3.65261969,3.751439056,3.847124524,3.942052833,4.023799458,4.103748745,4.173692668,3.966729696,4.00249384,4.191731831,4.328729126,4.300602968,4.291783966,4.430912855,4.585651188,4.73516306,4.669795601,4.715977017,4.429185079,4.389316334,3.685676755,3.46887415,3.604847104,3.588733179,3.575695723,3.567589725,3.382681826,3.65598996,3.484076295
USA.AL,US,Industrial Processes ,CH4,0.200609154,0.102366397,0.0522353,0.026654514,0.013601207,0.037859671,0.019318949,0.009858031,0.071285928,0.151218656,1.199091576,0.611869809,0.312223579,0.15932076,0.081297847,0.041484486,0.021168612,0.010801873,1.341481048,0.684527995,0.364970852,0.186236523,0.095032363,0.048492905,0.024744853,0.012626749,0.00644315,0.003287796,0.001677689,0.000856088,0.000436843
USA.AL,US,Electricity/Heat ,N2O,0.269027111,0.287622442,0.299574057,0.327733993,0.307011299,0.32943765,0.353815901,0.342798507,0.347967856,0.347584578,0.35677313,0.337245611,0.343634251,0.353088563,0.34388458,0.36441332,0.366224275,0.369889133,0.349418341,0.267298231,0.304302736,0.276720404,0.227255184,0.232147799,0.233290751,0.20559816,0.170781383,0.156586642,0.157198808,0.131553235,0.109287861
USA.AL,US,Residential,N2O,0.020243384,0.020692709,0.021718842,0.017584962,0.016698782,0.016751635,0.017561364,0.010739667,0.009481663,0.010780788,0.011638333,0.009799405,0.009430758,0.009278057,0.009504209,0.007559667,0.006887853,0.007336009,0.008107162,0.010048292,0.010906228,0.00992346,0.008086343,0.010374375,0.010639309,0.00429578,0.003682431,0.003274463,0.004307891,0.004174587,0.003657604
USA.AL,US,Commercial,N2O,0.005767486,0.004482745,0.004994358,0.004489999,0.004308314,0.004020309,0.004452564,0.004140141,0.003123424,0.003823906,0.004399833,0.003737912,0.003437713,0.003689908,0.003678604,0.002752087,0.003803562,0.003261804,0.0031843,0.003177735,0.003453069,0.003459884,0.003037049,0.002916186,0.002952512,0.002984542,0.003279573,0.003052539,0.003301515,0.003162227,0.002991702
USA.AL,US,Transportation ,N2O,0.832332,0.876041,0.95762,1.011041,1.05886,1.106199,1.115541,1.142402,1.13563,1.077378,1.040431,0.992031,0.955312,0.921096,0.853771,0.791035,0.749039,0.703211,0.647408,0.551686,0.572358,0.56271,0.511717,0.449816,0.423881,0.401078,0.383111,0.353941,0.334806,0.353183,0.300577
USA.AL,US,Industry,N2O,0.185899069,0.18481507,0.201713525,0.187852175,0.235372445,0.24567199,0.234465831,0.250401064,0.243694106,0.250549893,0.251717971,0.20928724,0.207211981,0.199599809,0.232637397,0.223796578,0.239196326,0.228664604,0.211602605,0.166817238,0.18346982,0.202222107,0.208399316,0.224634256,0.215271215,0.205316616,0.202169536,0.20634427,0.206821969,0.205603095,0.197306258
USA.AL,US,Fugitive Emissions ,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA.AL,US,Agriculture ,N2O,4.171274248,4.075151074,4.066696477,4.388015529,3.966215256,3.869470123,4.03530231,3.759837897,3.89010636,3.6121919,3.412043843,3.644190487,3.482422614,3.574834851,3.737361295,3.602692612,3.480739716,3.668308564,3.722570848,3.594389153,3.488645414,3.331796109,3.385417605,4.021626113,4.020006795,4.001112754,3.618421023,3.709689683,3.772495757,3.841021014,3.829878546
USA.AL,US,Land-Use Change and Forestry ,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA.AL,US,Waste ,N2O,0.119411962,0.12282911,0.129440847,0.129229396,0.132637428,0.132712785,0.134777435,0.134843669,0.136999753,0.139889577,0.140565384,0.138900012,0.140348883,0.141139506,0.14205992,0.141079337,0.14498877,0.144215147,0.143336211,0.142387077,0.143206527,0.140760929,0.142578271,0.142917694,0.145081468,0.146919797,0.1477605,0.148736786,0.150791253,0.149621986,0.15008758
USA.AL,US,Industrial Processes ,CO2,2.927643389,2.879648366,2.857730201,3.543294842,3.820960509,3.814972249,3.875029589,6.371883158,6.542898524,6.287576638,6.314348212,6.275116686,6.78670192,7.141019529,7.391630947,7.249599909,7.717400514,7.559231173,7.096173904,5.160277406,6.158444543,5.182686892,5.501800863,5.71852203,5.932342302,5.915742407,5.645316816,5.635271676,5.572715515,5.431370526,5.194022505
USA.AL,US,Total including LUCF,CO2,39.61035974,43.61603062,50.62711088,49.80304222,47.16744552,56.22658015,61.75372017,62.72274104,64.22141377,66.82012363,72.43911815,66.0305144,70.71287583,72.27240628,74.47539252,75.43778733,77.34277135,78.75593127,70.25501417,49.63412811,62.16537694,56.72811355,48.6662825,47.32718914,48.38980898,45.09906386,38.91755273,34.04088058,38.6762356,33.59941195,25.29400203
USA.AL,US,Total including LUCF,CH4,23.64296128,23.41907846,22.54370808,21.04395369,23.09768047,25.29247778,23.41106357,21.66440462,21.67770137,21.04561411,21.00995754,19.76058123,18.1493625,18.45762481,17.91101921,16.83101322,16.49373244,17.97188199,20.97916451,20.70794162,19.86554415,18.47096547,17.10925475,16.66678156,16.13919153,8.212583296,8.152037419,8.199639695,8.014712409,8.0697954,7.818540814
USA.AL,US,Total including LUCF,N2O,5.603955261,5.57163415,5.681758106,6.065947054,5.721103523,5.704263492,5.895916403,5.645162945,5.767003163,5.442198642,5.217569495,5.335191668,5.141798201,5.202726694,5.322897006,5.133328601,4.990879501,5.12488626,5.085627467,4.735803726,4.706341793,4.527592892,4.486490769,5.084432423,5.051123052,4.967305648,4.529205447,4.581625382,4.629723193,4.688319143,4.593786552
USA.AL,US,Total including LUCF,F-Gas,0.51518374,0.499594793,0.529870873,0.605342437,0.756840911,1.065571698,1.275690465,1.470645008,1.576996473,1.743819934,1.856833429,1.951467692,2.010126978,2.063237187,2.111016749,2.16597899,2.261948637,2.366834704,2.510401776,3.185946905,3.190015149,3.77240408,3.156012082,3.226851463,3.479781547,3.518781204,3.532083046,3.517772489,3.547967187,3.650044247,3.731755448
USA.AK,US,Electricity/Heat ,CO2,2.593912907,2.452763183,2.283055935,2.30659858,2.324387474,2.398020207,2.521996407,2.73E+00,2.918160998,3.023551655,3.171318138,3.253266766,3.272404998,2.981417955,3.167060721,3.232437911,3.474927593,3.268291528,3.259764743,3.145192816,3.036701835,3.16311001,3.127434352,2.642420888,2.909486984,2.954463936,2.759472092,2.790520489,2.6945805,2.720069918,2.735656877
USA.AK,US,Residential,CO2,1.580309515,1.598286895,1.744465024,1.73111816,1.772548351,1.812364091,1.795401365,1.701925998,1.649932929,1.949333159,1.736841558,1.804191376,1.620385765,1.659093969,1.797510427,1.767007481,2.150052336,1.843877974,1.780333953,1.754199802,1.681918074,1.723379297,1.758595129,1.555269313,1.459078727,1.584652116,1.49993073,1.660963375,1.460880683,1.445489129,1.651431503
USA.AK,US,Commercial,CO2,2.190764442,2.227986865,2.512626019,2.553379285,2.576372271,2.491534802,2.698430948,2.545967802,2.653910846,2.80945686,2.676384869,2.474598421,2.054244534,1.93344187,2.192362033,2.109470962,2.412380758,2.179927052,2.348959781,2.188227663,2.575408289,2.770966661,2.655865631,2.419248598,2.351252359,2.584343452,2.046740422,2.062491747,2.043509882,2.014718631,2.116932668
USA.AK,US,Industry,CO2,15.10790834,16.5769618,17.94555824,17.60367043,17.1834469,20.37324861,21.44897281,20.1821679,20.61923356,19.56420301,19.68443416,19.92691414,20.29939281,20.22436023,19.45818166,20.88826106,17.79619877,17.89992288,15.91133684,16.25799169,15.7004061,15.90631447,16.36643228,16.32291367,16.02209837,15.91102844,15.71465189,15.52911593,15.97042487,15.69752183,16.9654812
USA.AK,US,Transportation ,CO2,10.11191073,8.924375407,8.732322599,8.996749711,9.209726106,10.18733762,9.846503811,11.00679729,11.21776111,12.05723621,12.74519592,12.11473173,12.30760842,12.7204544,15.49379899,15.23116146,15.28614853,14.33753545,12.45103814,11.26777988,10.99931755,10.5301007,9.402558542,8.590532936,8.552270496,9.143396759,8.588662707,8.674416161,8.977464039,8.942139667,9.412009968
USA.AK,US,Land-Use Change and Forestry ,CO2,-32.20822141,-29.34995963,-32.30393042,-30.51296747,-32.29051294,-32.11634182,-27.20382788,-31.69849767,-30.69151966,-28.06273972,-26.82618719,-30.11643325,-7.716880891,-23.64300592,72.93733114,25.10748483,-32.14214338,-27.33077237,-31.45015764,0.177056155,-25.40437438,-1.243841581,-17.76342434,-16.10211523,-28.49159979,23.32867,-18.99905838,6.143133247,-1.89E+01,-18.89139621,-18.88786565
USA.AK,US,Fugitive Emissions ,CO2,0.518796766,0.522969476,0.684867221,1.088440569,0.640334594,0.422887116,0.343168694,0.400642774,0.396609816,0.343906447,0.365612574,0.371722937,0.352994872,0.30631188,0.294171381,0.310648457,0.343967241,0.311484426,0.48255533,0.312310109,0.488886547,0.548114192,0.561980201,0.347873272,0.320130707,0.264916324,0.421671766,0.375794018,0.407486208,0.361642729,0.286252436
USA.AK,US,Agriculture ,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA.AK,US,Waste ,CO2,0.017096364,0.03103769,0.03046008,0.032722716,0.032535186,0.032866432,0.0353482,0.040531797,0.049795167,0.038106158,0.036787357,0.038771305,0.0402786,0.026349052,0.012128637,0.013071293,0.013269193,0.012245945,0.011979129,0.007414649,0.0081029,0.00829045,0.008392393,0.008643937,0.008898524,0.00914818,0.009464486,0.00955213,0.010088895,0.010088895,0.010088895
USA.AK,US,Bunker Fuels ,CO2,1.989817592,2.255280726,2.136951209,2.024008112,1.982801161,2.150676865,2.168816954,2.485160418,2.537114762,2.760439681,2.993092757,2.613800059,2.719840221,3.061372313,3.657353259,3.789262697,3.889710597,3.720450611,3.047989394,2.445543259,2.934888352,2.797978974,2.675116256,2.381623209,2.505036091,2.615807301,2.486213403,2.57489259,2.851683095,2.928766189,2.477433308
USA.AK,US,Electricity/Heat ,CH4,0.001247109,0.001209663,0.001134144,0.001164492,0.001181462,0.001206626,0.00136293,0.001494443,0.001527463,0.001592489,0.001552892,0.001705878,0.001730753,0.001586163,0.001621436,0.001655344,0.001769581,0.001632692,0.001562564,0.001585299,0.001455358,0.001511529,0.001512969,0.001241551,0.001283286,0.001300057,0.001261146,0.001300277,0.00122746,0.001233827,0.001267472
USA.AK,US,Residential,CH4,0.026625152,0.026289053,0.027504045,0.030424261,0.027126412,0.026106456,0.025260111,0.022332302,0.021166656,0.023174105,0.022330939,0.028837246,0.029020717,0.030274941,0.030174903,0.016000384,0.017489913,0.016793063,0.01193842,0.020033405,0.020971911,0.020507456,0.017945782,0.021449914,0.021421089,0.046192736,0.049528607,0.043136312,0.046227672,0.043345583,0.048787075
USA.AK,US,Commercial,CH4,0.006921124,0.00705059,0.00803013,0.008779037,0.008753935,0.008199528,0.008926214,0.008661226,0.008453432,0.009029996,0.008745872,0.01013224,0.008784722,0.008620537,0.00921083,0.006750358,0.00756366,0.006825809,0.007453328,0.008026389,0.00931697,0.00961208,0.008946966,0.008535684,0.008489102,0.013198212,0.013554437,0.012653378,0.011941289,0.011209879,0.013619403
USA.AK,US,Industry,CH4,0.013175329,0.013288101,0.01424887,0.012555974,0.014367397,0.01510627,0.015852905,0.012540357,0.011735119,0.011112212,0.010768128,0.011037882,0.011159631,0.011229001,0.010877772,0.011554028,0.010302823,0.010437018,0.009144611,0.009241855,0.008834765,0.009191746,0.009434356,0.009398454,0.009027704,0.008820792,0.008592949,0.008131272,0.00837419,0.008133404,0.008732396
USA.AK,US,Transportation ,CH4,0.020482241,0.021078432,0.01952844,0.017702406,0.016004776,0.017585903,0.015266868,0.017730425,0.016541177,0.018562124,0.017936116,0.015279023,0.014919696,0.015287518,0.015911278,0.016829964,0.016128822,0.015910725,0.013663745,0.011526074,0.013549498,0.012842466,0.012100421,0.010986892,0.010169423,0.010262722,0.010188574,0.010122759,0.010152342,0.010179957,0.009907002
